ICMMID,Confidence.Factor,Mine_Name,Group_Names,Latitude,Longitude,Asset_Type,Country_Region,Primary_Commodity,Secondary_Commodity,Other_Commodities,Production,Processing,Net_GDP_Decrease,Risk_category
,,,,,,,,,,,,,,
ICMM01988,Very Low,"Frisco and Clarines Zn, Pb, Ag, Au, F Mines",NA,26.934,-105.717,Mine,Mexico,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM01993,Very Low,La Esmeralda,NA,27.267,-103.659,Mine,Mexico,silver,zinc,NA,TRUE,NA,36,Elevated
,,,,,,,,,,,,,,
ICMM02030,Moderate,Santa Rosa,Santa Rosa;San Antonio,28.609,-109.755,Mine,Mexico,silver,gold,copper;barium,TRUE,NA,36,Elevated
ICMM02031,Very Low,Potosi Mine,Potosi Mine;El Potosi;El Potosi,28.604,-105.87,Mine,Mexico,silver,copper,NA,TRUE,NA,36,Elevated
,,,,,,,,,,,,,,
ICMM02072,Very Low,Lampazos,NA,29.41,-109.412,Mine,Mexico,silver,copper,lead,TRUE,NA,36,Elevated
ICMM02091,High,Pilares,Pilares;Pilares;Pilares,30.333,-109.633,Mine,Mexico,copper,molybdenum,silver;gold;barium,TRUE,NA,56,Elevated
ICMM02092,Very Low,Bird Mine,NA,30.343,-103.517,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02104,High,Buenavista,Cananea;Cananea;Esperanza;Buenavista;Buenavista;Buenavista;Buenavista;Buenavista del Cobre Smelter;Buenavista SX EW,30.965,-110.319,Mine,Mexico,copper,molybdenum,gold;silver;zinc,TRUE,NA,56,Elevated
ICMM02108,High,Bismark,Bismark;Bismark;Bismark;Bismark,31.234,-107.588,Mine,Mexico,copper,lead,zinc;antimony;silver;gold,TRUE,NA,56,Elevated
ICMM02122,Moderate,Sacramento and Lavender Pits,Danville Hanchetta Claims;Irish Mag Shaft;Copper Queen Ug Leaching;Sacramento and Lavender Pits,31.429,-109.902,Mine,United States,copper,lead,gold;silver,TRUE,NA,56,Elevated
ICMM02152,Very Low,Eocene Research Plant,NA,31.644,-110.144,Plant,United States,silver,NA,NA,NA,TRUE,36,Elevated
ICMM02154,Moderate,Arizona Mine,Arizona Mine;Silver Shield Mine;Cerro Colorado;Twin Plant Plant,31.654,-111.277,Mine,United States,copper,gold,lead;mercury;silver,TRUE,NA,56,Elevated
ICMM02174,Very Low,Victor Mine,NA,31.834,-111.084,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02176,Moderate,Silver Cloud Mine,Silver Cloud Mine;Black Diamond Mine;Festerling Mine;Black Diamond Mines,31.847,-109.94,Mine,United States,copper,lead,gold;manganese;silver;zinc,TRUE,NA,56,Elevated
ICMM02177,High,Esperanza Plant,Esperanza Plant;Armargosa Arroyo Placers;Duval Esperanza;High Hill Mine;Sierrita;Two Friends Mine;Duval Sierrita;Duval Sierrita;Sierrita;Sierrita;Sierrita;Sierrita SX EW,31.864,-111.138,Mine,United States,copper,molybdenum,lead;gold;rhenium;silver;zinc,TRUE,NA,56,Elevated
ICMM02179,Very Low,Newman Mine,Newman Mine;Bulldozer Mine;Blue Jay Good Friday Mines,31.874,-110.782,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
ICMM02181,Moderate,South End Mine,South End Mine;Helena Mine;Rosemont,31.866,-110.709,Mine,United States,copper,silver,gold,TRUE,NA,56,Elevated
ICMM02190,Very Low,Abril Mine,NA,31.909,-109.992,Mine,United States,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM02194,Very Low,Dimple Mine,Dimple Mine;Blow Out Mine;La Libre Mine,31.935,-110.711,Mine,United States,copper,antimony,lead;silver,TRUE,NA,56,Elevated
ICMM02196,Very Low,Twin Buttes Oxide Plant,NA,31.935,-111.004,Plant,United States,copper,NA,NA,NA,TRUE,56,Elevated
ICMM02201,High,Arizona No. 3 Mine,Arizona No. 3 Mine;Paymaster Mine Group;Alpha Mine;Vivienne Mine;Olivette Mine;Annete Mine;Silver Helmet Mine;Whitcomb Mine;Pima District;South San Xavier Mine;San Xavier Mine Shaft;San Xavier Extension Mine;Vulcan Mine;Plumed Knight Mine;Pima Open Pit Mine;Mission Complex;Mission Mine;Mission Mill;Mission Complex;Mission;Whitcomb,31.971,-111.089,Mine,United States,copper,gold,lead;molybdenum;silver;tin;zinc,TRUE,NA,56,Elevated
ICMM02203,Very Low,Round Valley Morrow Mine,NA,31.957,-109.163,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02220,High,Gunnison,Dragoon Copper Mine;St. George Claim;Johnson Pit;Peacock Mine;Johnson Camp;Johnson Mine;McKay Mine;Johnson District;Gunnison;Johnson Camp;Gunnison,32.099,-110.061,Mine,United States,copper,molybdenum,silver;zinc,TRUE,NA,56,Elevated
ICMM02254,Very Low,Volcano,NA,32.304,-109.02,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02256,Moderate,Bonney Misers Chest and 85 Mine and Plt,Bonney Misers Chest and 85 Mine and Plt;Century Mine;Lordsburg/Goldfield Hidalgo;Lordsburg Plant,32.313,-108.755,Mine,United States,silver,lead,gold;copper;barium,TRUE,NA,36,Elevated
ICMM02266,Moderate,Ajo,Copper Ledge Mine;Ajo Placers;New Cornelia Div Mill;Ajo District;Ajo;Ajo Peak Mine;Cardigan Mine,32.36,-112.856,Mine,United States,copper,gold,silver;molybdenum,TRUE,NA,56,Elevated
ICMM02270,High,Silver Bell mine,Unnamed Prospect Vhne 029n;Silver Bell mine;Oxide Mine;Silver Bell;Silver Bell;Silver Bell SX EW,32.395,-111.506,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
ICMM02281,Moderate,Tohono,Tohono;Electrowinning Plant;Lakeshore Mill;Mammon Mine;Tohono,32.526,-111.904,Mine,United States,copper,gold,molybdenum;silver,TRUE,NA,56,Elevated
ICMM02292,Very Low,Great Eastern Mine,NA,32.592,-112.138,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02294,Very Low,"Lucky Strike No. 1 , 2 and 3",NA,32.597,-108.365,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02298,High,Tyrone,Tyrone;Burro Mountains District;Burro Chief Mine;Tyrone;Tyrone;Tyrone;Tyrone SX EW,32.643,-108.371,Mine,United States,copper,zinc,NA,TRUE,NA,56,Elevated
ICMM02300,High,San Manuel Engineering and Tech,San Manuel Engineering and Tech;Mohawk New Year Mine;San Manuel;San Manuel;Tiger Tailings,32.697,-110.681,Mine,United States,copper,gold,lead;molybdenum;silver,TRUE,NA,56,Elevated
ICMM02307,Moderate,Mammoth Butte Mine,Mammoth Butte Mine;Magna Mine;Bunker Hill Mine;Clark Mine;Old Reliable,32.74,-110.483,Mine,United States,copper,gold,lead;molybdenum;silver,TRUE,NA,56,Elevated
ICMM02312,Moderate,Ash Peak Mines,Ash Peak Mines;Ash Peak;Ash Peak District;Ash Peak,32.763,-109.254,Mine,United States,copper,gold,silver;zinc,TRUE,NA,56,Elevated
ICMM02315,High,Star Shaft,Star Shaft;Chino;Chino Mine;Republic Mine;Chino;Chino;Chino;Chino SX EW,32.794,-108.073,Mine,United States,copper,gold,lead;molybdenum;platinum;silver;zinc,TRUE,NA,56,Elevated
ICMM02318,Moderate,Mount Royal Mine,Mount Royal Mine;Jim Crow Imperial Group;Jim Crow Imperial Group;Imperial,32.817,-108.98,Mine,United States,copper,gold,silver;zinc,TRUE,NA,56,Elevated
ICMM02320,Moderate,Big Bear and Little Bear Mine,Big Bear and Little Bear Mine;Cargo Mine;Blossom Mine;Madre and Padre Mines;American Girl Mine;American Girl Mine;Butterfly Group of Mines;American Girl,32.847,-114.789,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
ICMM02323,Moderate,Continental Mill No 2,Continental Mill No 2;Continental Surface;Continental Mill No 1;Continental Underground;Cobre Magnetite Stockpile;Cobre SX EW,32.85,-108.088,Mine,United States,copper,gold,iron ore,TRUE,NA,56,Elevated
ICMM02325,Moderate,Ontario Mine,Ontario Mine;Carlisle Mine;Summit Mine;Norman King Mine;Billali,32.869,-108.973,Mine,United States,copper,gold,lead;silver,TRUE,NA,56,Elevated
ICMM02339,Very Low,Horseshoe,NA,32.914,-109.61,Mine,United States,copper,gold,NA,TRUE,NA,56,Elevated
ICMM02348,High,Safford Mine,Safford Mine;Phelps Dodge Safford Project;Safford;Safford,32.954,-109.663,Mine,United States,copper,gold,molybdenum;silver,TRUE,NA,56,Elevated
ICMM02362,High,Hayden smelter,Christmas Underground Mine;Amarillo refinery;Hayden smelter;Hayden Smelter,33.002,-110.774,Smelter;Refinery,United States,copper,gold,silver,NA,TRUE,56,Elevated
ICMM02375,High,Morenci,Chase Creek Placers;Gold Gulch Placers;Silver King Mine;Lakeman Group;Morenci Mill;Bell and Pinkard Group;Capote Mine;Buzzard's Shadow Mine;Hormeyer Mine;New York and Arizona Gold Mines;Midnight Mine;Copper Mountain Mine;Arizona Central Mine;Gold Belt Mines;Longfellow Mine;Cayuga Mine;Morenci Mine;Copper Bluff Mine;Las Trajas Mine;Standard Copper Mine;Clifton Copper Mines;San Jose Mine;Copper Cliff Mine;Coronado Mine;Metcalf;Copper King Mine;XIV Group;Mansfield Claim;Santa Lucia Mine;Eleven and Celtic Group;Cuprite Group;Brunswick Mine;Antietam Mine;Stevens Group Mines;Molinar Alaska Mine;Golden Eagle Prospect;Iolanthe Prospect;Mammoth Mine;Gold Bar Mines;La Palma Group;Lime Cap Group;Morenci;Morenci;Morenci;Dover;Morenci SX EW,33.103,-109.365,Mine,United States,copper,molybdenum,lead;gold;silver;zinc,TRUE,NA,56,Elevated
ICMM02390,Very Low,Rainbow Silver Mine,NA,33.142,-111.208,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02391,High,Ray,Copper Solvent Extraction Plant;Indian Springs Mine;Leaching Ponds;Sunset Mine;Ray Mine;Lead Queen Mine;Hunch Mine;Unpatented Claims M S 2718;Ray;Ray;Ray SX EW,33.18,-110.986,Mine,United States,copper,gold,lead;silver,TRUE,NA,56,Elevated
ICMM02403,Very Low,Reymert Property,NA,33.245,-111.202,Mine,United States,silver,copper,lead,TRUE,NA,36,Elevated
ICMM02404,Moderate,Grand Pacific Mine,Grand Pacific Mine;Belmont Mine;Michigan and Hancock Mine;Queen Creek Mine;Magma Chief Copper Mine;Magma,33.289,-111.088,Mine,United States,copper,gold,manganese;silver,TRUE,NA,56,Elevated
ICMM02417,High,Iron Precipitation Plant,Iron Precipitation Plant;Lower Ox Hide;Blue Bird Heap Leaching;Thornton Pit;Live Oak;Joe Bush Pit;Cyprus Miami;Live Oak Pit;Bluebird Plant;Inspiration Leaching Plant;Black Copper Mine;Warrior Mine;Red Hill Pit;Golden Eagle Mine;Cedar Tree Mine;Money Metals Mine;Tin Horn Wash Deposit;Miami;Carlota;Miami Freeport;Miami smelter;Miami;Miami;Bonanza;Miami Smelter;Miami Refinery,33.411,-110.886,Mine;Smelter,United States,copper,gold,lead;molybdenum;silver;sulphuric acid;zinc,TRUE,TRUE,56,Elevated
ICMM02418,High,Al and Hal Mine,Al and Hal Mine;Solvent Extraction Electrowinning;Pinto Valley;Continental Mine;Carlota;Pinto Valley;Pinto Valley;Pinto Valley;Carlota;Pinto Valley SX EW,33.402,-110.968,Mine,United States,copper,molybdenum,gold;silver;zinc,TRUE,NA,56,Elevated
ICMM02421,Very Low,New Dominion Mine,"L and V Group;Ireland Mine;Stonewall Mine;Maggie Vein;Josh Billings Claims;Darius Mine;New Dominion Mine;Iron King and Red Oxide Mine;Pontiac Mine;Berkley Mine;Globe Manganese Mine;Ramboz Mine;Bracco Group Prospect;Last Chance Mine;Four Bagger Mine;Irene Vein, Old Doughboy",33.437,-110.768,Mine,United States,copper,gold,lead;silver;uranium,TRUE,NA,56,Elevated
ICMM02438,Moderate,Bonanza Mine,Bonanza Mine;Bonanza,33.669,-113.592,Mine,United States,copper,gold,lead;silver,TRUE,NA,56,Elevated
,,,,,,,,,,,,,,
ICMM02443,Very Low,Contact,NA,33.736,-113.035,Mine,United States,copper,gold,NA,TRUE,NA,56,Elevated
ICMM02447,Very Low,Silverado Santa Rosa,NA,33.75,-117.618,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02453,Very Low,Lead Camp Mine,NA,33.782,-114.045,Mine,United States,zinc,silver,NA,TRUE,NA,51,Elevated
ICMM02454,Moderate,Mudersbach Copper Camp,Mudersbach Copper Camp;Mudersbach,33.805,-114.06,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
ICMM02463,Very Low,Temescal Tin Mine,NA,33.848,-117.481,Mine,United States,tin,NA,NA,TRUE,NA,33,Elevated
ICMM02464,Moderate,Newsboy,Newsboy;Newsboy,33.848,-112.668,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
ICMM02484,Very Low,Great Cross Cut Prospect,Great Cross Cut Prospect;Golden Anchor Mine;Columbia Mine;Humbug Mines;Little Joseph Mine;Tom Wade Mine;Tip Top Mine;Tip Top;Golden Central Mine;El Pero Bonito Mine;Golconda Mine;Humbug Placers;Museum Mine;Acquisition Mine;Mayby Mine;Lapan Mine,34.05,-112.291,Mine,United States,silver,gold,copper;barium;lead;platinum;arsenic;zinc,TRUE,NA,36,Elevated
ICMM02495,Moderate,Monte Cristo Mine,Monte Cristo Mine;Black Rock Mine;George Washington Mine;George Washington,34.077,-112.594,Mine,United States,copper,gold,lead;nickel;silver,TRUE,NA,56,Elevated
ICMM02502,Very Low,Gibson Mine,NA,34.117,-85.267,Mine,United States,cobalt,NA,NA,TRUE,NA,47,Elevated
ICMM02521,Very Low,New Congress,Alaska Mine;New Congress;Congress Extension;Hermsdorf Mine;Golden Wave Mine;Piedmont Mine,34.21,-112.861,Mine,United States,copper,gold,lead;silver,TRUE,NA,56,Elevated
ICMM02531,Very Low,Mineral Hill Mine,NA,34.232,-114.013,Mine,United States,copper,silver,NA,TRUE,NA,56,Elevated
ICMM02532,Very Low,Gemes,NA,34.233,-84.733,Mine,United States,cobalt,NA,NA,TRUE,NA,47,Elevated
ICMM02541,Moderate,Bonanza,Bonanza;Bonanza,34.282,-113.662,Mine,United States,copper,gold,NA,TRUE,NA,56,Elevated
ICMM02544,Moderate,Victory Copper Mine,Victory Copper Mine;Placerita Placers;Zonia;Malapai Mine;Vesuvius Mine;Silver Crown Mine;Copper Crown Mine;Gold Basin,34.308,-112.628,Mine,United States,copper,gold,lead;silver,TRUE,NA,56,Elevated
ICMM02562,Very Low,Castle Hayne Mill,NA,34.367,-77.867,Plant,United States,chromium,NA,NA,NA,TRUE,36,Elevated
ICMM02565,Very Low,Triples Or Copper King,Triples Or Copper King;Golden Eagle Mine;Venezia Mine;Starlight Mine;Westerner Mine;Mount Union Mine;Tillie Starbuck Prospect;Buzzard Mine;Jersey Lily Mine;Crook Mine;Mona Savage Mine;Climax Mine;Blue Dick Mine;Dos Oris Mine;Senator Mine;Big Chief Mine;Davis Dunkirk;Storm Cloud Mine;Independence Mine;Treadwell Mine;Ten Spot Mine;Sundance Mine;Mark Twain Mine;Columbus;Big Pine Mine;Catoctin Mine;Gold Charm Mine;N. C. 4 Mine;Mcnulty and Mcbride Mine;Oro Flame Mine;Hassayampa Placers;White Pearl Prospect;Silver Flake Mine;Mormon Girl Mine;Granite Creek Placers,34.424,-112.467,Mine,United States,copper,gold,barium;lead;silver;zinc;,TRUE,NA,56,Elevated
ICMM02567,Very Low,Little Egypt Mine,NA,34.398,-112.221,Mine,United States,copper,silver,NA,TRUE,NA,56,Elevated
ICMM02569,Moderate,Hackberry Leach Plant,Hackberry Leach Plant;Hackberry Mine;Upshot Mine;Mary Copper Mine;Butternut Mine;Henrietta Mine;Swindler Mine;Lone Pine Mine;Huron Mine;Lelan Dividend Mine;Little Jessie Mine;Independence 2 Mine;Gladstone Mccabe Mine;Lookout Mine;Arizona National Mine;Kit Carson Mine;McCabe,34.462,-112.28,Mine,United States,copper,gold,lead;silver;zinc,TRUE,NA,56,Elevated
ICMM02579,Very Low,Binghampton Mine,NA,34.456,-112.194,Mine,United States,copper,silver,NA,TRUE,NA,56,Elevated
ICMM02606,High,Mountain Springs Mine,Mountain Springs Mine;Stucky;Stukey Mine;Eureka Placers;Cowboy Mine;Copper King Mine;Eureka District Arizona;Bagdad Mill;Bagdad Leach and Electrowinning;Bagdad;Bagdad;Bagdad;Bagdad;Bagdad SX EW,34.572,-113.208,Mine,United States,copper,molybdenum,lead;gold;silver;zinc,TRUE,NA,56,Elevated
ICMM02620,Moderate,Bagdad Chase Mine,Bagdad Chase Mine;Bagdad Chase Mine;Bagdad Chase;Bullion,34.627,-116.174,Mine,United States,copper,gold,lead;silver,TRUE,NA,56,Elevated
ICMM02625,Very Low,Lava Beds,NA,34.667,-116.418,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02635,Moderate,Verde Central Mine,Verde Central Mine;Cleopatra Mine;Florentia Mine;Dundee Arizona Mine;United Verde Mine;Anchor Mine;United Verde Extension;United Verde,34.75,-112.116,Mine,United States,copper,silver,gold;arsenic,TRUE,NA,56,Elevated
ICMM02637,Very Low,Meeke Hogan Mine,NA,34.837,-118.742,Mine,United States,tin,NA,NA,TRUE,NA,33,Elevated
ICMM02647,Moderate,Cactus Gold Mine,Cactus Gold Mine;Middle Butte;Burton Brite Blank Mine;Quien Sabe;Cactus;Cactus,34.962,-118.278,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
ICMM02648,Very Low,Waterman,Waterman;Grapevine Waterman,34.962,-117.028,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02650,Very Low,Calico,NA,34.967,-116.868,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02657,Very Low,Shining Dawn Mine,Shining Dawn Mine;Puertas Negras Mine,35.029,-116.832,Mine,United States,silver,gold,silver,TRUE,NA,36,Elevated
ICMM02658,Moderate,Copperhill Mine,Copperhill Mine;Eureka Mine;London Mill;East Tennessee Mine;Copperhill,35.036,-84.363,Mine,United States,copper,iron ore,silver;zinc,TRUE,NA,56,Elevated
ICMM02666,Very Low,Columbia,NA,35.066,-115.477,Mine,United States,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM02741,Very Low,Emerald Isle,Emerald Isle;Emerald Isle Deposit,35.365,-114.197,Mine,United States,copper,NA,NA,TRUE,NA,56,Elevated
ICMM02743,Moderate,Mineral Park,Mineral Park;Mineral Park Mill;Congress Prospect;New Moon Mine;Twentieth Century Mine;Emerson Mine;Tennessee Schuykill;Argyle Mine;Mineral Park;Tennessee/Schuykill;Mineral Park SX EW;Johnny Bull,35.391,-114.168,Mine,United States,copper,molybdenum,silver;gold;lead;arsenic;diamond;zinc,TRUE,NA,56,Elevated
ICMM02788,Moderate,Mountain Pass,Blue Moon;Wilshire;G. A. Fayle;Unknown;Desert Antimony;Mountain Pass,35.489,-115.516,Mine;Plant,United States,lanthanides,neodymium,copper;antimony;lead;silver,TRUE,TRUE,74,Elevated
ICMM02792,Very Low,Ivanpah Clark Mountain,NA,35.483,-115.568,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02828,Very Low,Colosseum Mine,NA,35.57,-115.567,Mine,United States,copper,gold,NA,TRUE,NA,56,Elevated
ICMM02875,Very Low,Valley View Project,NA,35.758,-115.424,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02886,Very Low,Slate Range,NA,35.817,-117.284,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02912,Very Low,Basic Magnesium Inc. Plant,NA,36.043,-115,Plant,United States,silver,NA,NA,NA,TRUE,36,Elevated
ICMM02913,Very Low,Immel,Immel;Immel Zinc Mine,36.067,-83.702,Mine,United States,zinc,lead,NA,TRUE,NA,51,Elevated
ICMM02914,Moderate,Young Zinc Mine,"Young Zinc Mine;Young, Immel, Coy, New Market;East Tennessee Mines",36.076,-83.622,Mine,United States,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM02915,Very Low,Asarco New Market Mine,Asarco New Market Mine;Mascot Jefferson City District,36.08,-83.565,Mine,United States,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM02923,High,Elmwood Zinc Mine Incline,Elmwood Zinc Mine Incline;Elmwood Zinc Mine #3 Shaft;Gordonsville Elmwood Mine;Central Tennessee Zinc District;Middle Tennessee;Middle Tennessee Mines,36.196,-85.934,Mine,United States,zinc,lead,germanium;cadmium;gallium,TRUE,NA,51,Elevated
ICMM02925,Very Low,Elmwood Mill,NA,36.221,-85.91,Plant,United States,zinc,NA,NA,NA,TRUE,51,Elevated
ICMM02931,Very Low,Elmwood Zinc Mine No. 2 Shaft,Elmwood Zinc Mine No. 2 Shaft;Cumberland Mine,36.257,-85.943,Mine,United States,zinc,lead,cadmium,TRUE,NA,51,Elevated
ICMM02941,Very Low,Colorado,NA,36.334,-117.478,Mine,United States,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM02945,Very Low,Clinch Valley,NA,36.373,-83.407,Mine,United States,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM02947,Very Low,Lee Santa Rosa,NA,36.417,-117.718,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM02952,Very Low,Kings Bend Mine,NA,36.5,-83.649,Mine,United States,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM03008,Very Low,Nelson,NA,37.122,-119.96,Mine,United States,copper,NA,NA,TRUE,NA,56,Elevated
ICMM03021,Moderate,Walkeng Mining Co.,Walkeng Mining Co.;California Savage Kinner Mines;Silver Reef Mine and Mill,37.243,-113.369,Mine,United States,copper,silver,uranium,TRUE,NA,56,Elevated
ICMM03035,Very Low,Burg,NA,37.302,-113.202,Mine,United States,copper,NA,NA,TRUE,NA,56,Elevated
ICMM03043,Very Low,Black Canyon,NA,37.333,-118.201,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03047,Very Low,Mammoth Revenue Mine,Mammoth Revenue Mine;Ute District,37.349,-106.534,Mine,United States,copper,gold,zinc,TRUE,NA,56,Elevated
,,,,,,,,,,,,,,
ICMM03062,Very Low,Western Magnesite Co. Property,Western Magnesite Co. Property;Winship,37.414,-121.469,Mine,United States,chromium,NA,NA,TRUE,NA,36,Elevated
ICMM03063,Moderate,Culverwell Mine,Culverwell Mine;Tom and Jerry Mine,37.414,-114.474,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
ICMM03066,Very Low,Bootjack,NA,37.417,-119.884,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03073,Very Low,Small Hope Mine,NA,37.433,-108.042,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03078,Very Low,Delamar Mine,NA,37.46,-114.767,Mine,United States,copper,gold,NA,TRUE,NA,56,Elevated
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ICMM03104,Very Low,Cabrillo Pit and Mill,NA,37.526,-121.829,Mine;Plant,United States,silver,NA,NA,TRUE,TRUE,36,Elevated
ICMM03107,Very Low,Viburnum Trend,NA,37.538,-91.129,Mine,United States,copper,lead,nickel,TRUE,NA,56,Elevated
ICMM03126,Very Low,Crater View,NA,37.599,-118.55,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ICMM03149,Very Low,Oak Mesa,Oak Mesa;Little Florence,37.657,-120.309,Mine,United States,copper,gold,gold,TRUE,NA,56,Elevated
ICMM03150,Very Low,Royal,NA,37.656,-113.754,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03163,Moderate,Escalante Silver Mine,Escalante Silver Mine;Escalante Mine,37.682,-113.72,Mine,United States,copper,gold,lead;silver;zinc,TRUE,NA,56,Elevated
ICMM03165,Very Low,Ironclad,Ironclad;Montezuma Mine;Rico Argentine Mining Company,37.695,-108.026,Mine,United States,copper,lead,NA,TRUE,NA,56,Elevated
ICMM03169,Very Low,Chidago,NA,37.7,-118.568,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03173,Moderate,Goldfield Mill,Goldfield Mill;Goldfield District Gold Deposits;Goldfield District;Goldfield Mine and Mill;Goldfield Mine;Goldfield Tailings Project;Goldfield;Goldfield January,37.718,-117.227,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
,,,,,,,,,,,,,,
ICMM03188,Very Low,Vasco Road Pit,NA,37.748,-121.722,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03192,Very Low,Enterprise Or Holt Silver Mines,NA,37.75,-113.751,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
,,,,,,,,,,,,,,
ICMM03271,Very Low,Silver Mine,NA,37.925,-121.954,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03273,Very Low,Cowboy Johnson Adit,NA,37.926,-106.98,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03289,Very Low,Pioche Mill,NA,37.948,-114.444,Plant,United States,silver,NA,NA,NA,TRUE,36,Elevated
ICMM03296,Moderate,Mountain Top,Mountain Top;Hawkeye Claims;Camp Bird;Revenue Virginius;Ouray,37.971,-107.746,Mine,United States,copper,gold,lead;silver;zinc,TRUE,NA,56,Elevated
ICMM03317,Very Low,New Reveille Mine,New Reveille Mine;South Reveille Mine,38.006,-116.193,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03318,Moderate,Royal Mountain King Prospect,Royal Mountain King Prospect;Royal Mountain King,38.005,-120.685,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
ICMM03332,Moderate,Reveille Mines,Reveille Mines;Gila Mine;Gila Canyon,38.033,-116.182,Mine,United States,copper,silver,NA,TRUE,NA,56,Elevated
ICMM03366,Very Low,Skougard,NA,38.108,-113.801,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03374,Moderate,Lisbon Valley,Woods Mine;Wood Mine;Lisbon Valley,38.125,-109.127,Mine,United States,copper,NA,NA,TRUE,NA,56,Elevated
ICMM03389,Very Low,Candelaria Mine,Candelaria Mine;Candelaria Mine;Climax Mine,38.15,-118.092,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
ICMM03406,Moderate,Standard Tunnel,Standard Tunnel;Bacardi Cutler Mine;Big Buck;Mi Vida Mine;Ivy Mine;Louise Mine;Standard No.2;Mi Vida,38.191,-109.255,Mine,United States,copper,lead,uranium;vanadium;zinc,TRUE,NA,56,Elevated
ICMM03454,Very Low,Silver King Mine,Silver King Mine;Silver King Mine,38.291,-114.878,Mine,United States,silver,lead,arsenic,TRUE,NA,36,Elevated
ICMM03464,Very Low,Quailey Mine,NA,38.317,-118.502,Mine,United States,silver,barium,NA,TRUE,NA,36,Elevated
ICMM03465,Very Low,Honey Boy,NA,38.318,-112.893,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03468,Very Low,Hall Molybdenum Mine,NA,38.321,-117.297,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
ICMM03481,Moderate,Sodaville Pilot Plant,Sodaville Pilot Plant;Western Milling Plant,38.341,-118.103,Mine,United States,copper,gold,silver,TRUE,NA,56,Elevated
ICMM03499,Moderate,Empire,Empire;Last Chance Claim;Osceola;Florence;Harrington Hickory;Emerson Mine,38.383,-113.12,Mine,United States,copper,lead,silver;zinc,TRUE,NA,56,Elevated
ICMM03515,Very Low,Huntington Alloys Rolling Mill,NA,38.415,-82.457,Plant,United States,nickel,NA,NA,NA,TRUE,22,Moderate
ICMM03525,Very Low,Great Western Mine,NA,38.42,-112.335,Mine,United States,silver,NA,NA,TRUE,NA,36,Elevated
